from,to,carrier,departure,days_to_departure,price
Moscow,Simferopol,Аэрофлот,2015-05-11,26,3906
Moscow,Simferopol,Аэрофлот,2015-05-11,27,3902
Moscow,Simferopol,Аэрофлот,2015-05-11,30,3902
Moscow,Simferopol,Аэрофлот,2015-05-11,34,3868
Moscow,Simferopol,Аэрофлот,2015-05-11,36,3909
Moscow,Simferopol,Аэрофлот,2015-05-11,37,4842
Moscow,Simferopol,Аэрофлот,2015-05-11,38,3909
Moscow,Simferopol,Аэрофлот,2015-05-11,39,3909
Moscow,Simferopol,Аэрофлот,2015-05-11,41,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,43,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,44,4420
Moscow,Simferopol,Аэрофлот,2015-05-11,45,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,46,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,47,4800
Moscow,Simferopol,Аэрофлот,2015-05-11,52,5049
Moscow,Simferopol,Аэрофлот,2015-05-11,54,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,55,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,58,6048
Moscow,Simferopol,Аэрофлот,2015-05-11,60,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,65,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,66,4475
Moscow,Simferopol,Аэрофлот,2015-05-11,67,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,70,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,72,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,75,5868
Moscow,Simferopol,Аэрофлот,2015-05-11,76,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,78,6048
Moscow,Simferopol,Аэрофлот,2015-05-11,88,6808
Moscow,Simferopol,Аэрофлот,2015-05-10,0,4041
Moscow,Simferopol,Аэрофлот,2015-05-10,3,4500
Moscow,Simferopol,Аэрофлот,2015-05-10,4,4500
Moscow,Simferopol,Аэрофлот,2015-05-10,5,3900
Moscow,Simferopol,Аэрофлот,2015-05-10,9,8176
Moscow,Simferopol,Аэрофлот,2015-05-10,10,3750
Moscow,Simferopol,Аэрофлот,2015-05-10,12,4500
Moscow,Simferopol,Аэрофлот,2015-05-10,13,3750
Moscow,Simferopol,Аэрофлот,2015-05-10,14,3750
Moscow,Simferopol,Аэрофлот,2015-05-10,15,3785
Moscow,Simferopol,Аэрофлот,2015-05-10,16,4000
Moscow,Simferopol,Аэрофлот,2015-05-10,17,3750
Moscow,Simferopol,Аэрофлот,2015-05-10,21,3750
Moscow,Simferopol,Аэрофлот,2015-05-10,22,3900
